problem,label
"#include<stdio.h>#include<string.h>void backmove(char x,int n,int m)char *x;{ int i,j;  char w;  for(j=0;j<m;j++)  { w=*(x+n-1);    for(i=0;i<n-1;i++)  *(x+n-1-i)=*(x+n-2-i); *x=w;  }}void main(){ char g[80];  int k;  puts(""input string:"");  gets(g);  put",0
"#include<stdio.h>#include<string.h>void backmove(x,n,m)char  *x;int n,m;{ int i,j;  char w;  for(j=0;j<m;j++) { w=*(x+n-1);   for(i=0;i<n-1;i++)     *(x+n-1-i)=*(x+n-2-i);   *x=w; }}main(){ char g[80];  int k;  puts(""input string:"");  gets(g);  puts(""inpu",0
"#include<stdio.h>#include<string.h>char *x;int n,m;void backmove(x,n,m){ int i,j;  char w;  for(j=0;j<m;j++)  {w=*(x+n-1);   for(i=0;i<n-1;i++)    *(x+n-1-i)=*(x+n-2-i);       *x=w;  }}main(){ char g[80];  int k;  puts(""input string:"");  gets(g);  puts(""i",0
"#include<stdio.h> maxdivisor(int m,int n)                                                                                                                            
{ int q,temp,r;  if(m<n)  {temp=m;      m=n;   n=temp;}  r=m*n;
   while(m%n!=0)        {",0
"这是我写的程序，运行下来有问题，但我怎么找也找不出~Help！
#include<stdio.h>void yanghui(int a[][],int n,char mode){ int i,j;  if(mode=='a')  { for(i=0;i<=n;i++)  {   for(j=0;j<=i;j++)  {      printf(""%d"",a[i][j]);  }  printf(""\n"");  }  }  else if(mode=='b')  { for(i=0;i<n;i++)  { ",0
"#include<string.h>#include<stdio.h>struct write{char name[10]; int age;};struct book{char title[20]; float  price; struct write author;}a[]={{""Turbo C"",28.3,{""xia"",53}},{""C++"",36,{""gong"",22}},{""Pascal"",29.6,{""hu"",35}},{""VB5.0"",41.7,{""gao"",38}}};main(){int",0
"c=a++/--b
不是说++优先级高于/吗????为什么这里先算/呢?",0
"#include<stdio.h>main(){ int n,i,flag;printf(""请输入一个正整数:\n"");/*提示用户输入正整数*/scanf(""%d"",&n); /* 把输入的整数赋给n*/flag=1; for(i=2;i<n;i++)if(n%i==0){flag=0;break;}if(flag==1)printf(""yes，此数是个素数\n"");elseprintf(""no，此数不是素数\n"");} 这是看到的一个程序 有关判断输入数是否是素数的 if(flag==1) print",0
"第七章第5题的程序A,为什么输入的结果是g(    3)=    14呢?前面的3比较理解,后面的14不论用3还是用4代入都不对,为什么呢?",0
"为什么我的运行结果总是""sum=0""?为什么这一题时要返回的？


#include<stdio.h>#define N 10sum( int *a,int m) { int i,s=0;      for(i=0;i<m;i++)      s=s+(*a)++;      return s; }
main(){ int i,result,x[N],*p=x;  for(i=0;i<N;i++)   scanf(""%d"",p++);       p=x;    result=sum(p,x[i]);  ",0
"#include<stdio.h>filter(char *a,char*b){ int i,j; for(i=0;b[i]!='\0';i++)  for(j=0;a[j]!='\0';j++)   if(b[i]==a[j])    a[j]=-1;   i=j=0;   while(a[j]!='\0')   {if(a[j]==-1)     j++;   else    a[i++]=a[j++];   }   a[i]='\0';}main(){ char *str1,*str2; print",0
"实验八的第3题，红色的两行是要求填写的，不理解。。。
求高手解释一下！
#include<string.h>void backmove(x,n,m)char *x;int n,m;{ int i,j;  char w;  for (j=0;j<m;j++)  { w=*(x+n-1);     for(i=0;i<n-1;i++)  *(x+n-1-i)=*(x+n-2-i) ;     *x=w;  }}main(){ char g[80];  int k;  puts(""input string:"")",0
"这个程序 0 error  但是一运行就是发送错误报告 我纠结很久了  ~~  求高手解答 。
#include<stdio.h>#include<math.h>#define N 10int a[N];void sort(int x,int y){ int temp,i,j;  if (x>y)  { temp=a[i];    a[i]=a[j]; a[j]=temp;  }}main(){     int a[10],i,j;   printf(""成绩排序，请输入10位同学的成绩：\n"");   {",0
"这个程序可以运行 但是结果总会出现一大串负数 怎么回事？
#include<stdio.h>
int fact(int n){ int f;    if(n==0||n==1) f=1; else f=n*fact(n-1); return(f);}#define N 10main(){ int i,n,j,k,x[N][N];  printf(""杨辉三角:"");  scanf(""%d"",&n);  {for(i=0;i<n;i++)   for(j=0;j<=i;j++)     x[i][j]=fac",0
"胡老师你好，请问这个程序那里出错了，我找了半天找不到 ~！
 
#include<stdio.h>#include<math.h>#define N 10int a[N];void sort(int x,int y){ int temp,i,j;  if (x>y)  { temp=a[i];    a[i]=a[j]; a[j]=temp;  }}main(){     int a[10],i,j;   printf(""成绩排序，请输入10位同学的成绩：\n"");   {   for(i=0;i<N;i",0
"
#include<stdio.h>#define N 10sum(int *a,int m){ int i,s=10;  for(i=0;i<m;i++)   s=s+(*a++);  return s;}main(){ int i,result,x[N],*p=x;  for(i=0;i<N;i++)   scanf(""%d"",p++);      p=x;  result=sum(p,N);  printf(""sum=%d\n"",result);}
",0
"#include<math.h>double zero(double a,double b,double(*f)(),double eps){ double c,x; while(fabs(a-b)>eps) { c=(a+b)/2;  x=(*f)(a)*(*f)(c);  if(x<0)   b=c;  else if(x>0)   a=c;  else break; } return c;}double fun(double x){ return x*x+x-2;}#include<stdio.h>",0
"关于exit（）这个函数的使用
每次题目中有这个函数，我几乎都运行不出来
但是我已经按照书上加了头文件#include<process.h> 了啊~
还会显示有一个error，并且无法运行。。。
求解释！！！",0
"#include<stdio.h>typedef  struct{ long num;  int sub1;  int sub2;  float ave;} stud;main(){ stud p;int i,n;  FILE*fp;  scanf(""%d"",&n);  if((fp=fopen(""ave.dat"",""wb+""))==NULL)  { printf(""file open error!!\n"");    exit();  }  for(i=1;i<=n;i++)  { scanf(""%ld%",0
"#include<stdio.h>main(){int c=5,a;a=(c+=c++,c+8,++c);printf(""a=%d\n"",a);}
为什么a的值是12？",0
"#include<stdio.h>main(){ int x; x=1/2+5/(float)2; printf(""x=%d\n"",x);}
结果x=2

其中5/（float）2等于2，为什么呢
5/2=2这我知道，可为什么强制转换后不应该等价于5/2.0=2.5吗？",0
"自从电脑重装过之后每次编好程序都会有这个error...没法运行   
我在百度里搜了
下面两种方法都不行...也重新下载过了
求高人相助...




“CL.exe”是VC使用真正的编译器（编译程序），其路径在“VC根目录\VC98\Bin”下面， 你可以到相应的路径下找到这个应用程序。 

方法一：
因此问题可以按照以下方法解决：打开vc界面 点击VC“TOOLS（工具）”—>“Option（选择）” —>“Directories（目录）”重新设置“Excutable Fils、Incl",0
"胡老师~我觉得没有错误了呀~为什么还是有28个errors~而且都是unknown character '0xa1'？
#include<stdio.h>main(){ int i,j,result;　　　　　　　  printf(""\n"");   for (i=1;i<10;i++) 　　　　　　   { for(j=1;j<10;j++)  { result=i*j;          printf(""%d*%d=%-3d"",i,j,result); 　  }         printf(""\n"")",0
"#include<stdio.h>main(){ int n,t,number; float a=2,b=1,c,sum=0; printf(""Please input a number here\n""); scanf(""%d"",&number); for(n=1;n<=number;n++) {  sum=sum+a/b;  c=a/b;  t=a;  a=a+b;  b=t;  printf(""%d\t"",c); }  printf(""sum=%d\n"",sum);}为什么不对？？？求解释",0
"main()
{
int  x,y,z
​scanf(""%d%d%d"",&x,&y,&z );
printf(“x+y+z=%d\n” ,x+y+z);。
}
A)x+y+z=48      ​B)x+y+z=35
    C)x+y+z=35​   D)不确定值
为什么答案为d？",0
"5、 若有代数式 ,则不正确的C语言表达式是:C

    A) a/b/c*e*3       B) 3*a*e/b/c 
  
    C) 3*a*e/b*c       D) a*e/c/b*3 
",0
"

#include <stdio.h>void main(){ char  x,y; unsigned char z;/* printf(""input fu shu x,y:"");    scanf(""%d%d"",&x,&y); */    x=-20;    y=-12;    z=x+y; printf(""X=%d;y=%d\n"",x,y); printf(""X+Y=%d\n"",z);}
老师,为什么当程序定义x,y,z变量:
  int  x,y; unsigned int z; 
 时就不能显示",0
"#include <stdio.h>void main(){  char c1,c2;  printf(""c1="");
scanf(""%c"",&c1); printf(""c2="");
scanf(""%c"",&c2); printf(""c1=%c\t,c2=%c\n"",c1,c2);}
这个程序是什么错误啊？求老师高手们解释
",0
"详见教材88页例4-6 
  
第15行出现fflush（stdin）

为什么接下来的这么多printf和scanf不需要fflush函数

 ",0
"#include <stdio.h>#include <math.h>void main(){ float a,b,c,d1,d2,x1,x2;  printf(""计算方程ax^2+bx+c=0的解\n请输入a,b,c三个值\n "");  scanf(""%f%f%f"",&a,&b,&c);  d1=pow(b,2)-4*a*c;  d2=sqrt(d1);  x1=(-b-d2)/(2*a);  x2=(-b+d2)/(2*a);  if (d1<0)   printf(""此方程无解!\n"");  els",0
"#include<stdio.h>#include<math.h>void main(){   double a,b,c;   double x1,x2;  printf(""解方程ax^2+bx+c=0\n""); printf(""请输入a,b和c的值,中间用空格分开:\n"");    scanf(""%lf%lf%lf"",&a,&b,&c);   if (b*b-4*a*c<0 )  printf(""警告：该方程无解!!!\n"");     else if  (b*b-4*a*c>=0)     x1=(0",0
"#include<stdio.h>void main(){ int x=5; double y=(double)x/2; printf(""%d\n"",y);}
结果为何是0",0
"这里有四个小程序，是同学们自己做的例子，请大家调试，把你的解决办法贴出来。
Debug-1.C
#include <stdio.h>#include <math.h>void main(){    double x1;    double x2;    double a,b,c,d; printf(""please input a,b,c\n""); scanf(""%f%f%f\n"",&a,&b,&c); printf(""a=%f,b=%f,c=%f\n"",a,b,c); d=b*b-4*a*c; print",0
"#include <stdio.h>
void main(){ char ch; int x;
 ch=80+50; x=80+50; printf(""ch=%d\n"",ch); printf(""x=%d\n"",x);}出现的这个警告是什么意思warning C4305: '=' : truncation from 'const double' to 'float'",0
"#include<stdio.h>void main(){ char ch; int x; ch=   ; x=80+50; printf(""ch=%d\n"",ch); printf(""x=%d\n"",x);}
当ch取127以下的数时   输出的就是定义的书当取128及其以上的数时  输出的就是负数
求解释啊!!",0
"\n与\r都是回车符
\n还包含换行\r则不能换行
回车是什么意思？不是换行的意思吗？下面一条语句
printf(""I   love c language!\ryou\n"");
输出结果将是：you love language!
那回车到底是什么意思？是可擦写（覆盖）的意思吗？",0
"#include<stdio.h>void main(){#define PI 3.1415 char m; double r,s,c;
    printf(""请选择输入s，c或a（s代表计算面积，c代表计算周长，a代表分别计算面积和周长）"");    scanf(""%c"",&m); printf(""请输入圆的半径r：""); scanf(""%lf"",&r);
    if(m='s') {  s=PI*r*r;  printf(""s=%.2lf\n"",s); } else if(m='c') {  c=",0
"#include <stdio.h>void main (){ float x,y,z; printf(""x=""); scanf(""%f"",&x); if (x<0)  z='1'; else if(0<=x&&x<10)  z='2'; else if(10<=x&&x<20)  z='3'; else if(20<=x&&x<40);     z='4'; switch (z) { case'1':printf(""y=0\n"");break; case'2':printf(""y=%f\n"",x);br",0
"课本P122程序如下：
#include<stdio.h>
void main(){ int x=1,y=0,a=0,b=0; switch(x) { case 1:switch(y)     {case 0:a++;break;         case 1:b++;break;     }    case 2:a++,b++;break;    case 3:a++,b++; } printf(""a=%d,b=%d\n "",a,b);}
求解，结果为什么是a=2，b=1？",0
"#include <stdio.h>#include <math.h>void main(){
 float a,b,c,d,x1,x2; printf(""input a,b,c:""); scanf(""a=%f,b=%f,c=%f\n"",&a,&b,&c);-------------------？ d=sqrt (b*b-4*a*c); x1=(-b+d)/(2*a); x2=(-b-d)/(2*a); printf(""x1=%.2f,x2=%.2f\n"",x1,x2);}
问号区域多了一个""\n""就出现",0
"#include<stdio.h>#include<conio.h>void main (){char ch,ch1,ch2;
ch=getche();putchar('\n');ch1=ch=='a'?'z':ch-1;ch2=ch=='z'?'a':ch=1;

printf(""ch1=%c,ch2=%c"",ch1,ch2);}
为什么不回显ch的值？",0
主要内容在附件里,0
"题目要求:编程实现:输入一个整数,判断它能否被3,5,7整除,并输入以下信息之一:1能同时被3,5,7整除;2能同时被两个数整除;要指出是哪两个数.3能被其中一个数整除;要指出是哪一个数.4不能被3,5,7任一个整除.

#include<stdio.h>void main(){ int x,c,o,p,q; printf(""please input int x:""); scanf(""&d"",&x);
 if (x%3==0&&x%5==0&&x%7==0)  c=1; if ((x%3==0&&x%5=",0
"#include<stdio.h>
#define PI 3.14159
void main(){ float r; char m; float s,c; printf(""input r and m:\n""); scanf(""%f\n"",&r); fflush(stdin); scanf(""%c"",&m);
 s=PI*r*r; c=2*PI*r;

 if (m='s')  printf(""s=%f\n"",s);   else if (m='c')  printf(""c=%f\n"",c);
 else",0
"#include<stdio.h>void main(){    int i=0,sum=0; for(i=1;i<=100;i++);        //多了这个分号  sum+=i; printf(""sum=%d\n"",sum);}

为什么多了这个分号运行结果是101？",0
"对于条件表达式（k）?(i++):(i--)来说，其中的表达式k等价于（      ）
答案是k!=0
看不懂，k等不等于0只是运行出的结果不一样啊，为什么表达式k还会等价啊？",0
"#include <stdio.h>void main(){ int x,c; double y;
 printf(""please put a num xiaoyu 40:""); scanf(""%d"",&x);
 if (x<0)  c=-1; else  c=x/10;
 switch (c) { case -1:y=0;  break; case 0:y=x;  break; case 1:y=10;  break; case 2:    case 3:y=-0.5*x+20;  break; }
 ",0
"#include <stdio.h>
void main (){ float x, y;
 printf (""Please input x: ""); scanf (""%f"", &x);
 if (x <40) { if (x <0)  y=0;  else if (0 <= x <10)  y=x; else if (10<= x <20)  y=10; else if (20<= x <40)  y=-(x/2)+20; printf (""y=%.2f"", y); }  else printf (""En",0
"#include <stdio.h>
void main (){ float x, y;
 printf (""Please input x: ""); scanf (""%f"", &x);
 if (x <0)  printf (""y=0"", y);  else if (0 <= x <10) {  y=x;  printf (""y=%.2f"", y); } else if (10<= x <20)  printf (""y=10"", y); else if (20<= x <40) {  y=-(x/2)+2",0
"#include<stdio.h>void main(){ int x=1,y=0,a=0,b=0; switch (x) { case 1:switch (y)     {case 0:a++;break; case 1:b++;break;     } case 2:a++;b++;break;    case 3:a++;b++; } printf(""\na=%d,b=%d"",a,b);}",0
书120页和121页的4个程序例子总是报错 都是illegal case和illegal break！ 求解？？？,0
书上例5-5中的tag是什么意思？,0
实验六中srand((unsigned)time(NULL))代表什么意思？求解释,0
"#include <stdio.h>#include <stdlib.h>#include <time.h>main(){ int i,n=0,num0,num1;
loop: num0=random(100);  printf(""please input num1 :\n"");     for (i=1;i<=10;i++) {  scanf(""%d"",&num1);  n+=1;  if (num1>100)   exit(-1);  if (num1==num0)  {      printf(""y",0
exit(0)exit(1)exit(-1)有什么区别啊,0
"#include<stdio.h>#include<math.h>
void main(){ int s=1; float n=1.0,t=1,pi=0;
 while (fabs(t) >=1e-6)..........? {  pi+=t;  n+=2;  s=-s;  t=s/n; } pi*=4; printf(""pi=%.6f\n"",pi);}话说这行是什么意思?",0
"#include <stdio.h>void main(){ int a,b,n=1; printf(""input a:""); scanf(""%d"",&a);    printf(""input b:""); scanf(""%d"",&b); do  {   if(a==b)    break;   else if(a<b)    printf(""你输入的数太大,请重新输入\n"");   else    printf(""你输入的数太小,请重新输入\n"");   scanf(""%d"",&b);          ",0
"#include<stdio.h>#include<memory.h>
void main (){ int a[8],b[8],i,j,k;
 memset(a,0,8*sizeof(int)); memset(b,0,8*sizeof(int));
 for (i=0;i<9;i++)  a[i]=i+1;
 printf(""%d\n"",a[0]);          //此时a[0]的值还是1！！！
 for (i=0;i<9;i++)  b[i]=i+1;
 printf(""%d\n"",a[0]);",0
"为什么红色部分换成getchar 或scanf就不可以了?
#include<stdio.h>#include<stdlib.h>#include<math.h>
void main(){    int x,n,i; char a;          srand ((unsigned)time (NULL));    do    { n=rand()%100+1; i=0;   do   {    printf(""Input a number:"");       scanf(""%d"",&x);    if",0
"1.为什么还要控制列？
2.每行的规律是什么？1,3,6,8,6,3,1.求数学表达式
3.这个东西打印出来怎么可能是菱形呢？？？",0
"
#include <stdio.h>void main(){ int a,b,n=1; printf(""input a:""); scanf(""%d"",&a);    printf(""input b:""); scanf(""%d"",&b);    do  {   if(a=b)    printf(""n=%d\n"",n);   else if(a<b)    printf(""你输入的数太大,请重新输入\n"");   else    printf(""你输入的数太小,请重新输入\n"");   scanf(""%d",0
"我用dev-c++运行课本上的程序
#include ""math.h""main(){      int i,j,a[5][5];      int *p=a;      for(i=0;i<5;i++)                for(j=0;j<5;j++)          *(a[i]+j)=fabs(i-j)+1;           for(p=a;p<a+5;p++)      { if((p-a)%5==0) printf(""\n"");        printf(""%-3d"",*p)",0
" 习题解答与实验指导的180页
tag=0;
if (x%3==0)
tag=tag|4;
if (x%5==0)
tag=tag|2;
if (x%7==0)
tag=tag|1;
是什么意思？
",0
" 我的程序编译没错误，但运行不出来。
调试时发现sum=105时没有执行if，而是继续循环了。
求指正
#include<stdio.h>
void main(){ int k=1,i,j,t,m,sum=0;
 while(sum!=105) { t=k; for(i=1;i<7;i++) { t+=i; sum+=t; } if(sum==105) break; sum=0; k++; }  for(j=0;j<7;j++) { m=k+j; printf(""%d "",m); } printf(""\n",0
"详见书上P176例7-1
while((ch=getchar())!='\n'))；
红色的（）可以不要嘛？为什么要加上（） ？",0
"#include<stdio.h>void main(){ int k,i=1,n,s=0; do {    k=i;  n=1;  do  {   s+=k;   k=k+n;       n++;  }while(n<=7);  if(s==105)   break;  else   i++;       }while(k<=36&&s!=105);  n=0; k=i; do {    k=k+n; printf(""%d\n"",k); n++; }while(n<=6); 
}  ",0
"#include<stdio.h>void main(){ int i,j,result; printf(""\n""); for(j=1;i<10;i++) {  result=i*j;  printf(""%d*%d=%-3d"",i,j,result); } printf(""\n"");}
运行后会出现很壮观的事情,求解释.",0
"有一分数序列：2/1，3/2，5/3，8/5，13/8，21/13...求出这个数列的前20项之和。
#include<stdio.h>
void main(){  float a[20],b[20],sum=0;  int i;  a[1]=1;  a[2]=2;
  for (i=1;i<=20;i++)  {    b[i]=a[i+1]/a[i]; sum=sum+b[i]; a[i+2]=a[i]+a[i+1];  }  printf(""20项和是%d\n"",sum);}
结果很壮观，求解释。",0
"题目：有一分数数列:2/1, 3/2, 5/3, 8/5, 13/8, 21/13, ...求这数列前20项之和?

#include <stdio.h>
void main(){ int l=1,j=2,h,i; float sum=0,k;
 for (i=1;i<=20;i++) {   k=j/l;   sum=k+sum;   h=l;   l=j;   j=l+h; } printf(""前20项的和为 %f\n"",sum);}
正确答案是：32.660259
",0
"#include <stdio.h>void main(){ int   a,h,i=1,j=2; float s=2.0,m;
  for(a=1;a<=20;a++){ h=j; j=i+j; i=h; m=j/i; printf(""j/i=%f\n"",m); s=m+s;}printf(""s=%.2f\n "",s);}",0
为什么作业格式为txt时无法运行，而在之后加cpp后和就行了呢？,0
"#include <stdio.h>void mian()
{int m=2,n=1,i,sum=0; float a[20];a[i]=(m+n)/m;
for(i=0,i<=19,i++){sum+=a[i];printf(""sum=%f"",sum);}}",0
"#include<stdio.h>#define num 10void main(){ int i,j,t,a[num]; int flag;
 printf(""please input %d number:\n"",num); for (i=0;i<num;i++) scanf(""%d"",&a[i]);
  for (i=1;i<num;i++) {  flag=0; for (j=0;j<num-i;j++)  if (a[j]>a[j+1]) { t=a[j];     a[j]=a[j+1];   ",0
"

        书上例题7-6要求算出学生的功课的相关参数，但书上的代码只能输入5个学生的4门功课，我想让它可以任意输入功课门数与学生人数，（即学生的人数和功课的门数由输入者决定），编写了如下一段代码，但运行时有错误，苦寻未果。

代码如下：
 
#include<stdio.h>
 
void main ()
{
    int a[20][200];
    int i,j,k,l,p1=0,p2=0;
    char ch1,ch2;
 
    printf(""请依次输入每个学生的每门功课的",0
"#include<stdio.h>void main(){ float a[20]={1,2},b[20]={1,2};    int i,j;
    for(i=0;i<18;i=i+1)        a[i+2]=a[i]+a[i+1];
    for(i=0;i<20;i++)        printf(""a[%d]=%f\n"",i,a[i]);
    for(j=0;j<19;j=j+1)        b[j+2]=b[j]+b[j+1];
    printf(""\na[0]=%f""",0
"#include<stdio.h>#include<conio.h>void main(){ int num=0; while(getche()!='\n')  num++; printf(""num=%d\n"",num);}
打了回车后为什么没有反应",0
"#include<stdio.h>#define max 50void main(){ int n,i,j,k,l,t,m1,m2,m3,m4; int a[max]; int b[max]; int flag;
 printf(""please input  number:\n ""); for (i=0,n=0;i<max;i++) { scanf(""%d"",&a[i]); 
 if (a[i]==-1) break;      n++;}
    j=0;  for(i=0;i<n;i++) {m1=(",0
" #include<stdio.h>void main(){ char a[80],c; int i,num=0,word=0;
 gets(a); for(i=0;(c=a[i])!='\n';i++)这里是\n为什么不行？ if(c==' ') word=0; else if(word==0) { word=1; num++; printf(""%d\n"",word); } printf(""There are %d words in the line.\n"",num);}如果输入i love you,显",0
求高人解释i++与++i，要详细点的，谢谢了！！,0
"#include <stdio.h>#define NUM 6void main (){ int A,B,i,j,k; float sum,ave,array[NUM]; A=0; B=0; printf (""please input %d scores:"",NUM); for (i=0;i<NUM;i++)  scanf (""%d"",&array[i]); sum=0; { for (j=0;j<NUM;j++)  sum=sum+array[j]; } ave=sum/NUM; for (k=0;k<",0
求和的简单语句?,0
"#include<stdio.h>
void main(){ //定义变量 float array[6]; float sum,ave;    int i,A,B;     //输入 for(i=0;i<6;i++)  scanf(""%f"",&array[i]);
 //数据处理 for(i=0;i<6;i++)  sum+=array[i];         //计算成绩之和  ave=sum/6;                 //计算平均值     for(i=0;i<6;i++) {  if(a",0
"#include <stdio.h># define NUM 10void main(){
 int a[NUM],i,j,k,t;
 printf(""input %d numbers : \n"",NUM);
for(i=0;i<NUM;i++) scanf(""%d"",&a[i]);
for(i=0;i<NUM-1;i++){k=i;for (j=j+1;j<NUM-1;j++)if (a[k]>a[j])
k=j;if(k!=j){t=a[i];a[i]=a[k];a[k]=t;}
}
printf(""",0
"#include <stdio.h>void main(){ int i,A=0,B=0; float array[5],sum=0,ave=0;  for(i=1;i<=6;i++) {  printf(""input score:\n"");  scanf(""%f"",&array[i-1]);  sum+=array[i-1];  ave+=array[i-1]/6; }
 for(i=1;i<=6;i++) {  if(array[i-1]>ave)   A++;  else if(array[i-1]",0
"#include <stdio.h>#define NUM 10void main (){ int a[NUM],i,j,t; int flag;
 printf (""input %d numbers: \n"",NUM); for (i=0;i<NUM;i++)  scanf (""%d "",&a[i]); for (i=1;i<NUM;i++) {  flag=0;  for (j=0;j<NUM;i++)  {   if (a[j]>a[j+1])   {    t=a[j];    a[j]=a[j+",0
"#include <stdio.h>void main(){ char str[100],c; int i,num=0,x=0;
 gets (str);
 for (i=0;(c=str[i])!='\0';i++)  if (c==' ')   x=1;  else   if (x==0)   {    x=1;    num++;   }   printf (""There are %d words .\n"",num);
}",0
"#include<stdio.h>void main(){ float array[6]; float sum=0,ave; int i,A,B;
 printf(""please input six scores:\n""); for(i=0;i<6;i++) {  scanf(""%f"",array[i]);  sum+=array[i]; } ave=sum/6; printf(""%.2f"",sum); printf(""%.2f"",ave);
 for(i=0;i<6;i++) {  if(array[i",0
"#include <stdio.h>#define NUM 6void main(){float array[NUM],sum,ave;int i=0,A=0,B=0;ave=0;for (i=0;i<NUM;i++){printf(""input the score of the %dth student:"",i+1);scanf(""%f"",&array[i]);sum+=array[i];}ave=sum/6;for(i=0;i<=6;i++){ if(array[i]>=ave)A++;if(arra",0
为什么互评作业打不开?求大师!,0
"#include <stdio.h>#define NUM 50#define SUM 5void mian(){ int i,j; int a[NUM][SUM]; printf(""please input some %d-digit\n(<%d)"",SUM,NUM); for(i=0;i<NUM;i++) { gets (a); if(gets (a))==-1)  break; } for(i=0;i<NUM;i++)  printf(""%s"",a[i][SUM]); 
}",0
"#include<stdio.h>#define NUM 6void main(){ int i,j=0,k=0; float array[NUM]; float sum=0,ave;  for(i=1;i<=NUM;i++) {        printf(""input the score of the %dth student:"",i);  scanf(""%f"",&array[i]);  sum+=array[i]; }  ave=sum/NUM;  printf(""sum=%.2f"",sum);  ",0
"#include <stdio.h>#define NUM 6void main()
{ int i=0,k=0,A=0,B=0; float array[NUM]={0}; float sum=0,ave=0; printf(""please input the grade of the student:""); for (i=0;i<NUM;i++)  scanf(""%d"",&array[i]);                sum=sum+array[i];  ave=sum/NUM; printf(",0
"#include <stdio.h>#include <stdlib.h>#include <time.h>
void main(){char name1[100]={0},name2[100]={0};int i,j,a,b,skill,k,t;float m=0,n=0;srand((unsigned)time(NULL));    
printf(""请用拼音输入两个人的名字\n\n"");printf(""请输入第一个人名:"");gets(name1);fflush(stdin);printf(""请输入",0
